id,usage_group,category,arch_available,glaze_suitable,lite_compatibility,std_width_in,upcharge_widths_in,min_panel_width_in,notes,placeholder
P-1,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-2,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-3,B,cope_pattern,true,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-4,A,cope_pattern,true,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-5,A,cope_pattern,true,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-6,A,cope_pattern,true,true,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-7,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-9,A,cope_pattern,true,true,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-10,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-11,A,cope_pattern,true,false,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-12,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-14,D,cope_pattern,true,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-15,A,cope_pattern,true,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-17,A,cope_pattern,false,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-18,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-19,E,cope_pattern,true,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-20,A,cope_pattern,true,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-21,A,cope_pattern,true,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-23,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-26,A,cope_pattern,true,true,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-27,A,cope_pattern,true,true,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-28,A,cope_pattern,true,true,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-34,A,cope_pattern,true,true,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-35,F,cope_pattern,false,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-36,G,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-37,A,cope_pattern,false,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-38,B,cope_pattern,true,false,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-39,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-40,A,cope_pattern,true,true,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-43,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-45,G,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-47,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-49,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-50,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-51,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-53,A,cope_pattern,false,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-56,A,cope_pattern,true,true,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-57,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-58,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-59,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-65,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-66,B,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-67,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-68,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-72,A,cope_pattern,true,true,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-79,A,cope_pattern,true,false,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-80,A,cope_pattern,true,false,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-84,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-96,E,cope_pattern,false,false,none,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-97,A,cope_pattern,true,false,standard,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
P-133,A,cope_pattern,true,false,standard+deluxe,2.25,2.5;3,,Auto-extracted from Cabdoor Patterns Guide 2024,false
