id,usage_group,available_in_flat_back,category,notes,placeholder
Pnl-1,A,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-2,A,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-3,A,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-4,B,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-6,A,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-7,A,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-9,A,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-10,A,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-15,B,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-16,A,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-18,B,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-19,B,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-20,B,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-21,A,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-22,B,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-24,A,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-27,A,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-33,A,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-37,A,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-41,G,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-42,G,true,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-44,B,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-45,B,false,std_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-51,B,false,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-55,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-56,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-58,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-59,B,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-62,B,false,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-63,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-64,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-67,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-68,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-69,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-70,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-72,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-74,A,false,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-76,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-77,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-78,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-79,B,false,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-80,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-81,A,false,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-82,A,false,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-86,B,false,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-90,B,false,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-91,A,true,applied_moulding,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-149,A,true,reverse_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-150,A,false,reverse_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-501,B,false,reverse_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
Pnl-831,A,false,reverse_raised,Auto-extracted from Cabdoor Patterns Guide 2024,false
