operation_code,operation_name,phase,scale_by,hrs_per_unit,source,notes
LABOR_CNC,CNC Router,fabrication,sqft_material,0.00680,DB3D_3EQ derived,"6.37 min for ~15.5 SF material on 32.25""W cab = 0.0068 HR/SF. Scales with material quantity."
LABOR_EDGEBANDER,Edgebander,fabrication,lf_edgeband,0.00272,DB3D_3EQ derived,"1.76 min for ~10.8 LF edgeband = 0.00272 HR/LF. Scales with perimeter."
LABOR_BEAM_SAW,Beam Saw,fabrication,sqft_material,0.00292,DB3D_3EQ derived,"1.36 min for ~7.8 SF = 0.00292 HR/SF. Scales with sheet goods cuts."
LABOR_DRILL_DOWEL,Drill & Dowel,fabrication,per_cabinet,0.0250,DB3D_3EQ exact,"1.5 min per cabinet. Fixed per box — doesn't scale with width."
LABOR_ROUGH_ASSEMBLY,Rough Assembly Base/Wall,fabrication,per_cabinet,0.1111,DB3D_3EQ exact,"6.67 min per cabinet. Fixed — same effort regardless of width."
LABOR_PANEL_LAYUP,Panel Layup,fabrication,sqft_material,0.00465,DB3D_3EQ derived,"Panel lamination. Scales with SF. ~4.33 min for large panel. Estimate."
LABOR_KITTING,Kitting — Base/Wall/Carts,fabrication,per_cabinet,0.1000,DB3D_3EQ exact,"6 min per cabinet. Fixed. Load into carts for delivery to finish dept."
LABOR_FINISH_PREP,Finish Prep,fabrication,per_cabinet,0.3006,DB3D_3EQ exact,"18 min per cabinet. Fixed prep work before finish dept. Sanding, cleaning, masking."
LABOR_FINISHING_STAIN,Finishing — Stain (carcass),finishing,per_cabinet,0.7252,DB3D_3EQ exact,"0.4835 + 0.2417 HR = 43.5 min per carcass. Includes seal + topcoat. Stain finish only."
LABOR_FINISHING_PAINT,Finishing — Paint (carcass),finishing,per_cabinet,0.8500,estimate,"Estimate — paint requires more prep/sanding between coats than stain. Verify with shop."
LABOR_FINISHING_MEL,Finishing — Melamine (carcass),finishing,per_cabinet,0.1500,estimate,"Minimal finish — clean and touch-up only. No stain/paint. Estimate."
LABOR_FINISHING_DOOR_STAIN,Finishing — Stain (door/drawer front),finishing,per_door,0.2902,DB3D_3EQ derived,"0.4835+0.2636+0.1318 HR for 3 fronts = 0.29 HR/front. Stain finish."
LABOR_FINISHING_DOOR_PAINT,Finishing — Paint (door/drawer front),finishing,per_door,0.3500,estimate,"Estimate — more coats than stain. Verify."
LABOR_DRAWER_BOX,Drawer Box Build,fabrication,per_drawer,0.3000,DB3D_3EQ derived,"0.2000 + 0.0500 + 0.0667 HR per drawer = 18 min. Box construction + locking device."
LABOR_DRAWER_FRONT,Drawer Front Final Assembly,fabrication,per_door,0.2333,DB3D_3EQ derived,"0.0333 + 0.2000 HR per front = 14 min. Attach front to box, adjust, bumpers."
LABOR_DRAWER_SLIDES_INSTALL,Drawer Slide Install,fabrication,per_drawer,0.0500,estimate,"~3 min per pair. Mounting slides in cabinet opening. Estimate — not broken out in DB3D_3EQ."
LABOR_LOAD_PACK,Load/Pack Truck,delivery,per_cabinet,0.1667,DB3D_3EQ exact,"10 min per cabinet. Load onto truck, wrap, secure."
LABOR_UNLOAD_TRUCK,Unload Truck,installation,per_cabinet,0.2500,DB3D_3EQ exact,"15 min per cabinet. Unload, stage on site."
LABOR_INSTALL_BASE,Install — Base Cabinets,installation,per_cabinet,0.8333,DB3D_3EQ exact,"50 min per base cabinet. Level, fasten, connect. From PPAK install assembly."
LABOR_INSTALL_UPPER,Install — Upper/Wall Cabinets,installation,per_cabinet,0.6667,estimate,"~40 min per upper. Lighter than base but requires layout/level. Estimate."
LABOR_INSTALL_TALL,Install — Tall Cabinets,installation,per_cabinet,1.1667,estimate,"~70 min per tall. Full-height scribing and securing. Estimate."
LABOR_INSTALL_TOEKICK,Install — Toekick,installation,per_lf,0.0556,DB3D_3EQ derived,"0.1667 HR for ~3 LF toekick run = 0.056 HR/LF."
LABOR_INSTALL_PULL,Install — Pulls,installation,per_pull,0.0400,DB3D_3EQ exact,"2.4 min per pull. From drawer front sub-assembly. InstLabor rate."
LABOR_ENGINEERING,Engineering,engineering,per_cabinet,0.2500,DB3D_3EQ exact,"15 min per cabinet. Drawing review, BOM check, release. EngPMLabor rate."
LABOR_PM,Project Management,engineering,per_cabinet,0.2499,DB3D_3EQ exact,"15 min per cabinet. PM coordination, scheduling, client comms. EngPMLabor rate."
